owner,balance
5toMyvYzoG4dcHoYGBJBMRCaeZEpqRu1GYdXb15uThd2,2
5Fadh11u726sXjvWV32FBpJ19TYP8GrRqrNq88UAQRrp,2
AWyLrJN1jLqhSFHPZ6gycGKk8JvParrABuuyqjRiZSXv,2
7WwfS1VSuyBU6Pqm75ejgYjubrZzL4DWDRHNsomtLV9u,2
BNPfLEwyq4o4i32okq3RfpLPvXik56DYsQ6TwKPGjVtn,2
8Q7NiazFaLR6EpcDKAsXPrFV4BdSMwbs5ZfHH8jZTbM1,2
8v3QNTXsHp7YW1UPDAfb9WwbqdXAvo6VhzuciE4Cq7pd,2
HmoTKVBgsw9UMV7KjP9LWRcZPWZDYW5QhNWxnng7DKex,2
2caafd13xieaNJyDpgYV8zzFz6vZBPkfFnoxgt1f2VZ1,2
FE5HioLPBnJtgfjnTgHPGWPVELZZaP98KAdw7xaTFvkG,2
GwTjJ6TJNtyC9Yzc1Y17Yq3UTaaWgjEuCQdvhUzRG7Dp,2
VGapWVpkUTAXoG5jdvecZkJU9vmg9sqAXLmXRhRcGSm,2
C7rCPxpAqfU2yaeznRNU9uN34pw5CcBgcN2X5BNQLxax,2
FtCju3UC5UhxfkQnJBbjrdhMKhkZ5LhL8ZPwC9vJ4frx,2
DufUaMAV78QndV4JApKjc7LsXne9LL8yuDKmqjixyT4r,2
HY9ZLeUd6SZmM5C19vZvhqqTZRdVSqUPU5pm9WF8nLhQ,2
12fptKLZpeKcN4aJmWM1ENKiAfzvvUy6Qy9VMni3vyfs,2
GTb7LCZkUwKQtskFEBZhbyeCTT3NNzAuSjCcZF4CRP3i,2
4VBdx9BuUb5qyfTir3nhRCDRfvpNdKw2d1UBMCfTfc5b,2
FTWPkFUM9CYKLu4fu1GMjjEsU5JBQfp9SULMVM6v9zTN,2
FMxixYLpKoDhoo185SVkUwTdJayHWRBChEz4E5oHBRpy,2
6z3URHR4YMWAeD1xFu3Vzn3NiAcoFiJtJXcY13PNScGa,2
CWLjALt6dvsPnRxdXhniRvhM6V3HirHKfJYi1pcfWUU2,2
7YhgtjDbr19fHsnyvMq7M8rdMXpP72P6kUfCksam9aw1,2
CQccU4NLBpsAgpRXRzoi86NMMW2iQBppjEP7V2dzKnhD,2
9SdQfJ5KQuzMb3rgiYAbMf3bsdbfiy7gYTRuJFEhNt75,2
GNdSaSNRnqjbo5VGEV9ceZtWDu3T1spqxVzvgqCbs2by,2
3ti8VXjd3WiNEm7yoLLKbyFoXDmeZ7Ai9ULY8w7hNS3W,2
HTx3T8Tm3Wam1X2wfDuruVakGuyRywPLqxsxLcVCQQb9,2
HjWiMqu1tomLApmt5Kqf8KiyXCfnDaXPo6k2Hy5FMvwK,2
9kQHRLu9JCVn9qy616B3WULBf8FBmX32CR27nExv7CTQ,2
HLrEkEsCvMBP3z9sBtmq8dm8pVhg3f7pyV2hZK3X8zwt,2
WawCZp4VefehUWg7LSJoCMqZGnA9nxnEpeR7CCszSyF,2
2JPxiVTxVTpqETFaC3X35qmAnFQXhbojkPyGv1eb9HzE,2
J5FooY68mt3dR27g5W8BjHMEG1iEmKzwLjCrDKiojMTf,2
CqBu3BztvBkduMyXGyQBFeACcmZtgq8WYqRqWuc1dUvG,2
2PgLdq1xD1AFZzEmo1FYJXPzM4p4RbNxDAPX1MeYAuZ2,2
Hc8NCSfpVLDDj4CssrXriT8Nu6yVsa1XRZHNfL8zk2bQ,2
7tzfYFi5jQepxBP2sEAaJwqqjx48JKQ2QhuaczmAddSR,2
12iw8w5TXBemC1P9g3xgJQKxzm9qcrLJVu8RdYNHN9q5,2
6XFaqwPyKaLRvRkFJwsCv1uNeGCBPoqnqKrSVu2grxNh,2
2KNtfAz7mKnCvWAHqdXvfUqegCh47ZHQ2M7ehVG6Fn8m,2
5GACxA1qy2X9UPLoB7dBxDg8iCpZskHuNyuEoTVEpZnJ,2
4jQf5fJ1XjvSYW9CcCDBg6JoDm9ar9WuJGkkFSb3WC4E,2
FVAuwSrKaWGHCRz4PswNWPpvdj9oUk3DyRycd6ehr7zc,2
JDHo76kAq9H3h1AFmJFsHEoyYr3quFUMCMRbkks7arnw,2
5aFwuMi5RTEZGM4h23Xan5Z9D2NYCbWxxmMVu8Es2g73,2
2K98KLGAtWKtKNDxWg29QFJsCmeyD91bsBrbyJ8b8na6,2
ExETpRBrqnqvYVAqL1JcxvtfP9hPtSptwQva8xYGDRr,2
5hJCgzyy4vQWsisyztC1Rq9KCSpafJ8DT2Kkjz2u5hfH,2
HMTykJBm4DVuXeXrU23SM1jQLoiPSKMmoRLxqEPo9PqE,2
DUXQGHkkYgysbegxXaxg6T6ZLERdNaerjYTr7gLbWDKz,2
3H8qsvhHHkqZe2GDk8B4fhEGJvmGyQAKGttpfBhw7C3d,2
BDm1Tw5zpt76ULHonWkZ6EYSo3Spg17b64jTSAPLB2iu,2
74Rjx4iPcGKDD7ra1jFYAN96j9TwKQsCwSn2R5knmWgh,2
5rsVTk7moxdzkQWN5mrJuZ4fLCp9mSu2PZXtm54qjoMM,2
